model,subtype,metric_name,metric_value,ci_lower,ci_upper
openai/gpt-4o,shortest_path,CCI_composite,0.1111111111111111,0.0,0.3333333333333333
openai/gpt-4o,shortest_path,TEP_refined,0.611111111111111,0.3333333333333333,1.0
openai/gpt-4o,shortest_path,FDI_step0,0.3333333333333333,0.0,1.0
openai/gpt-4o,shortest_path,FDI_later_stability,0.4166666666666667,0.0,0.75
openai/gpt-4o,shortest_path,SC,0.875,0.75,1.0
openai/gpt-4o,shortest_path,RDI_standard,0.0,0.0,0.0
openai/gpt-4o,shortest_path,RDI_adversarial,0.06666666666666667,0.0,0.20000000000000004
openai/gpt-4o,wis,ADC_standard,0.0,0.0,0.0
openai/gpt-4o,wis,ADC_adversarial,1.0,1.0,1.0
openai/gpt-4o,wis,CPP,0.0,0.0,0.0
openai/gpt-4o,wis,CCI_algorithm,0.0,0.0,0.0
openai/gpt-4o,wis,CCI_first_decision,0.0,0.0,0.0
openai/gpt-4o,wis,CCI_critical,0.0,0.0,0.0
openai/gpt-4o,wis,CCI_composite,0.0,0.0,0.0
openai/gpt-4o,wis,TEP_refined,,,
openai/gpt-4o,wis,FDI_step0,0.0,0.0,0.0
openai/gpt-4o,wis,FDI_later_stability,,,
openai/gpt-4o,wis,SC,0.6666666666666666,0.6666666666666666,0.6666666666666666
openai/gpt-4o,wis,RDI_standard,0.0,0.0,0.0
openai/gpt-4o,wis,RDI_adversarial,0.14285714285714285,0.14285714285714285,0.14285714285714285
openai/gpt-4o,all,RTDA_standard_local_greedy,0.20689655172413793,0.06896551724137931,0.3448275862068966
openai/gpt-4o,all,RTDA_standard_forward_simulation,0.0,0.0,0.0
openai/gpt-4o,all,RTDA_standard_algorithm_invocation,0.0,0.0,0.0
openai/gpt-4o,all,RTDA_standard_unclear,0.7931034482758621,0.6551724137931034,0.9310344827586207
openai/gpt-4o,all,RTDA_adversarial_local_greedy,0.29310344827586204,0.1896551724137931,0.41379310344827586
openai/gpt-4o,all,RTDA_adversarial_forward_simulation,0.10344827586206896,0.034482758620689655,0.1896551724137931
openai/gpt-4o,all,RTDA_adversarial_algorithm_invocation,0.0,0.0,0.0
openai/gpt-4o,all,RTDA_adversarial_unclear,0.603448275862069,0.46551724137931033,0.7241379310344828
