family,model,n,n_clusters,tep_mean,ci_low,ci_high,tep_median,bootstrap,n_boot,seed,source,level,model_full,problem_id,tep,cci,inject_at_step,cluster_id
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_009,1.0,0.5,2,GSM_009
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_010,1.0,0.2222,4,GSM_010
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_011,1.0,0.6,2,GSM_011
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_012,1.0,0.2,2,GSM_012
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_013,1.0,0.0,3,GSM_013
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_014,1.0,0.25,2,GSM_014
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_015,0.0,0.3333,1,GSM_015
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_016,0.8333,0.1818,5,GSM_016
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_017,0.0,0.0,10,GSM_017
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_018,1.0,0.0,1,GSM_018
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_019,0.0,0.0,10,GSM_019
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_020,1.0,0.3333,4,GSM_020
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_041,1.0,0.0,3,GSM_041
