family,item_a,item_b,model_solves_a,model_solves_b,orientation,rate_solves_a_on_a,rate_solves_a_on_b,rate_solves_b_on_a,rate_solves_b_on_b,n_solves_a_on_a,n_solves_a_on_b,n_solves_b_on_a,n_solves_b_on_b,leg_a_beyond_noise,leg_b_beyond_noise,leg_a_p_one_sided,leg_b_p_one_sided,leg_a_obs_diff,leg_b_obs_diff,leg_a_noise_q95,leg_b_noise_q95,reliable,tau_hi,tau_lo,min_n_variants
GSM,GSM_006,GSM_009,openai/gpt-4o,meta-llama/llama-3.1-8b-instruct,M2_solves_A_fails_B__M1_solves_B_fails_A,0.6667,0.0,0.1667,0.6667,6,6,6,6,True,False,0.0139,0.0699,0.6667,0.5,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_007,GSM_009,anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,M1_solves_A_fails_B__M2_solves_B_fails_A,1.0,0.3333,0.3333,0.6667,6,6,6,6,True,False,0.0139,0.1938,0.6667,0.3333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_007,GSM_009,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,M1_solves_A_fails_B__M2_solves_B_fails_A,0.6667,0.1667,0.3333,0.6667,6,6,6,6,False,False,0.0699,0.1938,0.5,0.3333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_007,GSM_009,openai/gpt-4o,meta-llama/llama-3.1-8b-instruct,M2_solves_A_fails_B__M1_solves_B_fails_A,0.8333,0.0,0.3333,0.6667,6,6,6,6,True,False,0.0028,0.1938,0.8333,0.3333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_008,GSM_009,anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,M1_solves_A_fails_B__M2_solves_B_fails_A,0.6667,0.3333,0.1667,0.6667,6,6,6,6,False,False,0.1938,0.0699,0.3333,0.5,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_009,GSM_014,meta-llama/llama-3.1-8b-instruct,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,0.6667,0.3333,0.3333,0.8333,6,6,6,6,False,False,0.1938,0.0699,0.3333,0.5,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_009,GSM_014,meta-llama/llama-3.1-8b-instruct,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,0.6667,0.3333,0.1667,1.0,6,6,6,6,False,True,0.1938,0.0028,0.3333,0.8333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_009,GSM_014,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,M1_solves_A_fails_B__M2_solves_B_fails_A,0.6667,0.3333,0.0,0.6667,6,6,6,6,False,True,0.1938,0.0139,0.3333,0.6667,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_009,GSM_016,meta-llama/llama-3.1-8b-instruct,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,0.6667,0.3333,0.3333,1.0,6,6,6,6,False,True,0.1938,0.0139,0.3333,0.6667,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_009,GSM_017,meta-llama/llama-3.1-8b-instruct,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,0.6667,0.1667,0.3333,1.0,6,6,6,6,False,True,0.0699,0.0139,0.5,0.6667,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_009,GSM_019,meta-llama/llama-3.1-8b-instruct,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,0.6667,0.0,0.3333,0.6667,6,6,6,6,True,False,0.0139,0.1938,0.6667,0.3333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_009,GSM_020,meta-llama/llama-3.1-8b-instruct,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,0.6667,0.3333,0.3333,1.0,6,6,6,6,False,True,0.1938,0.0139,0.3333,0.6667,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_019,GSM_049,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,0.6667,0.2857,0.3333,1.0,6,7,6,7,False,True,0.1096,0.009,0.381,0.6667,0.4286,0.381,False,0.6667,0.3333,4
GSM,GSM_019,GSM_063,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,0.6667,0.2857,0.3333,1.0,6,7,6,7,False,True,0.1096,0.009,0.381,0.6667,0.4286,0.381,False,0.6667,0.3333,4
