family,model,pair,x,y,n,spearman_rho,p_value,corr_eligible
BW,Gemini,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,65,0.012192002609813086,0.9232097438761753,True
BW,Gemini,P2_CCI vs P3_contam,p2_cci,p3_contam,0,,,False
BW,Gemini,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,0,,,False
BW,Gemini,VRI_gap vs P3_contam,vri_gap,p3_contam,65,-0.04657467260940767,0.7125666551908811,True
BW,Llama,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,11,-0.35909242322980395,0.2781201560299044,True
BW,Llama,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,65,0.01339252864098332,0.9156746399567264,True
BW,Llama,P2_CCI vs P3_contam,p2_cci,p3_contam,11,0.3420153779427243,0.30324566027217514,True
BW,Llama,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,1,,,False
BW,Llama,VRI_gap vs P3_contam,vri_gap,p3_contam,65,0.011875930190769012,0.9251947193046866,True
BW,o4-mini,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,0,,,False
BW,o4-mini,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,65,-0.23513147890353808,0.05937105145217984,True
BW,o4-mini,P2_CCI vs P3_contam,p2_cci,p3_contam,0,,,False
BW,o4-mini,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,0,,,False
BW,o4-mini,VRI_gap vs P3_contam,vri_gap,p3_contam,65,-0.2750855060077453,0.02657156184461904,True
GSM,Claude,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,44,-0.0070816337663453,0.9636111653925339,True
GSM,Claude,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,44,0.10216046191185894,0.5093327047286571,True
GSM,Claude,P2_CCI vs P3_contam,p2_cci,p3_contam,44,0.24071586314338714,0.11548628286849513,True
GSM,Claude,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,37,0.04698016838551408,0.7824610361546476,True
GSM,Claude,VRI_gap vs P3_contam,vri_gap,p3_contam,44,0.12833542347895302,0.4064172419600415,True
GSM,GPT-4o,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,20,-0.15997440614236208,0.5004887443075928,True
GSM,GPT-4o,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,20,0.03539961627023943,0.8822133119610802,True
GSM,GPT-4o,P2_CCI vs P3_contam,p2_cci,p3_contam,20,-0.14780515061202523,0.5340248545688978,True
GSM,GPT-4o,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,17,-0.04629100498862758,0.8599653610303031,True
GSM,GPT-4o,VRI_gap vs P3_contam,vri_gap,p3_contam,20,0.0854912727959421,0.720068067204054,True
GSM,Gemini,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,44,-0.17661294139584308,0.2514500457266452,True
GSM,Gemini,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,44,0.005423765012089166,0.9721262395025047,True
GSM,Gemini,P2_CCI vs P3_contam,p2_cci,p3_contam,44,-0.07512358689922378,0.6279220094478324,True
GSM,Gemini,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,40,0.2662045305772509,0.09684418042096613,True
GSM,Gemini,VRI_gap vs P3_contam,vri_gap,p3_contam,44,0.017041404269570102,0.9125731159540608,True
GSM,Llama,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,20,0.38565801593360455,0.09308345926867163,True
GSM,Llama,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,20,-0.2454241228620857,0.2969677569680711,True
GSM,Llama,P2_CCI vs P3_contam,p2_cci,p3_contam,20,-0.05991066038470252,0.8018900561460967,True
GSM,Llama,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,16,-0.35749928011447907,0.17400793753450614,True
GSM,Llama,VRI_gap vs P3_contam,vri_gap,p3_contam,20,-0.2454241228620857,0.2969677569680711,True
GSM,o4-mini,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,44,0.22615493237162695,0.13990177018407052,True
GSM,o4-mini,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,44,-0.15477088752007723,0.31579340121892835,True
GSM,o4-mini,P2_CCI vs P3_contam,p2_cci,p3_contam,44,-0.12520097539703057,0.41806978442501164,True
GSM,o4-mini,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,37,-0.24228202409422403,0.14851725117524978,True
GSM,o4-mini,VRI_gap vs P3_contam,vri_gap,p3_contam,44,0.08910279680247973,0.5651749728733437,True
