family,model,variant_a,variant_b,n_overlap,p_b,p_b_given_a,p_a_given_b,lift_b_given_a,agreement_rate,phi_corr
BW,Llama,W6,W5,65,0.0,0.0,,0.0,0.9692307692307692,
BW,Llama,W6,W6,65,0.03076923076923077,1.0,1.0,0.9692307692307692,1.0,
BW,mock,canonical,canonical,15,0.0,,,,1.0,
BW,mock,canonical,W1,1,0.0,,,,1.0,
BW,mock,canonical,W2,10,0.0,,,,1.0,
BW,mock,canonical,W3,10,0.0,,,,1.0,
BW,mock,canonical,W4,10,0.0,,,,1.0,
BW,mock,canonical,W5,9,0.0,,,,1.0,
BW,mock,W1,canonical,1,0.0,,,,1.0,
BW,mock,W1,W1,1,0.0,,,,1.0,
BW,mock,W1,W2,1,0.0,,,,1.0,
BW,mock,W1,W3,1,0.0,,,,1.0,
BW,mock,W1,W4,1,0.0,,,,1.0,
BW,mock,W1,W5,1,0.0,,,,1.0,
BW,mock,W2,canonical,10,0.0,,,,1.0,
BW,mock,W2,W1,1,0.0,,,,1.0,
BW,mock,W2,W2,10,0.0,,,,1.0,
BW,mock,W2,W3,10,0.0,,,,1.0,
BW,mock,W2,W4,10,0.0,,,,1.0,
BW,mock,W2,W5,9,0.0,,,,1.0,
BW,mock,W3,canonical,10,0.0,,,,1.0,
BW,mock,W3,W1,1,0.0,,,,1.0,
BW,mock,W3,W2,10,0.0,,,,1.0,
BW,mock,W3,W3,10,0.0,,,,1.0,
BW,mock,W3,W4,10,0.0,,,,1.0,
BW,mock,W3,W5,9,0.0,,,,1.0,
BW,mock,W4,canonical,10,0.0,,,,1.0,
BW,mock,W4,W1,1,0.0,,,,1.0,
BW,mock,W4,W2,10,0.0,,,,1.0,
BW,mock,W4,W3,10,0.0,,,,1.0,
BW,mock,W4,W4,10,0.0,,,,1.0,
BW,mock,W4,W5,9,0.0,,,,1.0,
BW,mock,W5,canonical,9,0.0,,,,1.0,
BW,mock,W5,W1,1,0.0,,,,1.0,
BW,mock,W5,W2,9,0.0,,,,1.0,
BW,mock,W5,W3,9,0.0,,,,1.0,
BW,mock,W5,W4,9,0.0,,,,1.0,
BW,mock,W5,W5,9,0.0,,,,1.0,
BW,GPT-4o,canonical,canonical,65,0.06153846153846154,1.0,1.0,0.9384615384615385,1.0,
BW,GPT-4o,canonical,W1,65,0.09230769230769231,0.25,0.16666666666666666,0.1576923076923077,0.8769230769230769,0.13950420950552075
BW,GPT-4o,canonical,W2,65,0.09230769230769231,0.25,0.16666666666666666,0.1576923076923077,0.8769230769230769,0.13950420950552073
BW,GPT-4o,canonical,W3,65,0.16923076923076924,0.0,0.0,-0.16923076923076924,0.7692307692307693,-0.11557516997606783
BW,GPT-4o,canonical,W4,65,0.07692307692307693,0.0,0.0,-0.07692307692307693,0.8615384615384616,-0.07392212709545722
BW,GPT-4o,canonical,W5,65,0.24615384615384617,0.0,0.0,-0.24615384615384617,0.6923076923076923,-0.14632786278045284
BW,GPT-4o,canonical,W6,65,0.2153846153846154,0.25,0.07142857142857142,0.0346153846153846,0.7538461538461538,0.02156246911627731
BW,GPT-4o,W1,canonical,65,0.06153846153846154,0.16666666666666666,0.25,0.10512820512820512,0.8769230769230769,0.13950420950552075
BW,GPT-4o,W1,W1,65,0.09230769230769231,1.0,1.0,0.9076923076923077,1.0,
BW,GPT-4o,W1,W2,65,0.09230769230769231,0.3333333333333333,0.3333333333333333,0.241025641025641,0.8769230769230769,0.2655367231638418
BW,GPT-4o,W1,W3,65,0.16923076923076924,0.0,0.0,-0.16923076923076924,0.7384615384615385,-0.14392925652945757
BW,GPT-4o,W1,W4,65,0.07692307692307693,0.3333333333333333,0.4,0.2564102564102564,0.8923076923076924,0.30685820596610786
BW,GPT-4o,W1,W5,65,0.24615384615384617,0.5,0.1875,0.25384615384615383,0.7538461538461538,0.18792109407793092
BW,GPT-4o,W1,W6,65,0.2153846153846154,0.6666666666666666,0.2857142857142857,0.45128205128205123,0.8153846153846154,0.3500756718091913
BW,GPT-4o,W2,canonical,65,0.06153846153846154,0.16666666666666666,0.25,0.10512820512820512,0.8769230769230769,0.1395042095055207
BW,GPT-4o,W2,W1,65,0.09230769230769231,0.3333333333333333,0.3333333333333333,0.241025641025641,0.8769230769230769,0.2655367231638418
BW,GPT-4o,W2,W2,65,0.09230769230769231,1.0,1.0,0.9076923076923077,1.0,
BW,GPT-4o,W2,W3,65,0.16923076923076924,0.16666666666666666,0.09090909090909091,-0.0025641025641025827,0.7692307692307693,-0.0021807463110524025
BW,GPT-4o,W2,W4,65,0.07692307692307693,0.5,0.6,0.4230769230769231,0.9230769230769231,0.5063160398440788
BW,GPT-4o,W2,W5,65,0.24615384615384617,0.3333333333333333,0.125,0.08717948717948715,0.7230769230769231,0.06453855756211781
BW,GPT-4o,W2,W6,65,0.2153846153846154,0.5,0.21428571428571427,0.2846153846153846,0.7846153846153846,0.2207863611978426
BW,GPT-4o,W3,canonical,65,0.06153846153846154,0.0,0.0,-0.06153846153846154,0.7692307692307693,-0.11557516997606782
BW,GPT-4o,W3,W1,65,0.09230769230769231,0.0,0.0,-0.09230769230769231,0.7384615384615385,-0.1439292565294576
BW,GPT-4o,W3,W2,65,0.09230769230769231,0.09090909090909091,0.16666666666666666,-0.0013986013986014012,0.7692307692307693,-0.002180746311052403
BW,GPT-4o,W3,W3,65,0.16923076923076924,1.0,1.0,0.8307692307692307,1.0,
BW,GPT-4o,W3,W4,65,0.07692307692307693,0.09090909090909091,0.2,0.013986013986013984,0.7846153846153846,0.02368896848395677
BW,GPT-4o,W3,W5,65,0.24615384615384617,0.2727272727272727,0.1875,0.02657342657342654,0.676923076923077,0.027842122959610888
BW,GPT-4o,W3,W6,65,0.2153846153846154,0.09090909090909091,0.07142857142857142,-0.12447552447552448,0.6461538461538462,-0.13666197044785436
BW,GPT-4o,W4,canonical,65,0.06153846153846154,0.0,0.0,-0.06153846153846154,0.8615384615384616,-0.07392212709545722
BW,GPT-4o,W4,W1,65,0.09230769230769231,0.4,0.3333333333333333,0.3076923076923077,0.8923076923076924,0.30685820596610786
BW,GPT-4o,W4,W2,65,0.09230769230769231,0.6,0.5,0.5076923076923077,0.9230769230769231,0.5063160398440789
BW,GPT-4o,W4,W3,65,0.16923076923076924,0.2,0.09090909090909091,0.03076923076923077,0.7846153846153846,0.023688968483956768
BW,GPT-4o,W4,W4,65,0.07692307692307693,1.0,1.0,0.9230769230769231,1.0,
BW,GPT-4o,W4,W5,65,0.24615384615384617,0.8,0.25,0.5538461538461539,0.8,0.37115374447904514
BW,GPT-4o,W4,W6,65,0.2153846153846154,0.2,0.07142857142857142,-0.015384615384615385,0.7384615384615385,-0.010803395392536035
BW,GPT-4o,W5,canonical,65,0.06153846153846154,0.0,0.0,-0.06153846153846154,0.6923076923076923,-0.14632786278045284
