cci_threshold,w3_cutoff,w3_regime,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n,label_vector_id
0.6,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.6,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.6,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.6,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.6,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.6,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.6,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.6,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.65,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,4,165,271,440,115802625
0.65,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,5,164,271,440,3834894248
0.65,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,5,164,271,440,3834894248
0.65,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.65,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.65,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.65,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.65,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.65,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.65,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.65,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.65,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.65,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.65,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.65,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.7,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,0,169,271,440,2814333097
0.7,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,0,169,271,440,2814333097
0.7,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,0,169,271,440,2814333097
0.7,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.7,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.7,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.7,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.7,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.7,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.7,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.7,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.7,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.7,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.7,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.7,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.75,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,0,169,271,440,2814333097
0.75,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,0,169,271,440,2814333097
0.75,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,0,169,271,440,2814333097
0.75,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.75,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.75,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.75,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.75,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.75,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.75,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.75,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.75,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.75,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.75,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.75,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.8,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,0,169,271,440,2814333097
0.8,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,0,169,271,440,2814333097
0.8,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,0,169,271,440,2814333097
0.8,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.8,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.8,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.8,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.8,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.8,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.8,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.8,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.8,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.8,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.8,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.8,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.85,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,0,169,271,440,2814333097
0.85,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,0,169,271,440,2814333097
0.85,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,0,169,271,440,2814333097
0.85,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.85,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.85,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.85,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.85,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.85,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.85,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.85,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.85,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.85,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.85,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.85,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
